simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
10,4,1.1020408163265306e-05,6.1836734693877556e-06,2.63708e-11,43531,14080,12.35399055480957,0.8145534992218018,0.3637230396270752
11,0,1.1122448979591837e-05,6.10204081632653e-06,7.92228e-11,313,108,0.4071366786956787,0.5945756435394287,0.039201974868774414
11,0,1.1122448979591837e-05,6.10204081632653e-06,3.26672e-11,3496,1184,0.9477493762969971,2.963566780090332,0.06329202651977539
11,1,1.1122448979591837e-05,6.10204081632653e-06,2.71161e-11,16739,5627,2.9669013023376465,18.160104036331177,0.22150492668151855
11,2,1.1122448979591837e-05,6.10204081632653e-06,2.71359e-11,32557,10689,7.865726947784424,42.09406566619873,0.36814260482788086
11,3,1.1122448979591837e-05,6.10204081632653e-06,2.7193e-11,43581,14116,11.996099948883057,59.34800386428833,0.47643208503723145
11,4,1.1122448979591837e-05,6.10204081632653e-06,2.7193e-11,50134,16176,15.96789813041687,0.9172921180725098,0.42343950271606445
12,0,1.1224489795918369e-05,6.020408163265306e-06,7.90747e-11,317,109,0.3414726257324219,0.6978425979614258,0.04961848258972168
12,0,1.1224489795918369e-05,6.020408163265306e-06,2.96306e-11,3095,1042,1.0078098773956299,2.5574588775634766,0.060914039611816406
12,1,1.1224489795918369e-05,6.020408163265306e-06,2.81072e-11,16502,5550,2.7377099990844727,17.589131832122803,0.18919706344604492
12,2,1.1224489795918369e-05,6.020408163265306e-06,2.78507e-11,32953,10759,7.730501413345337,42.63376832008362,0.4137439727783203
12,3,1.1224489795918369e-05,6.020408163265306e-06,2.78819e-11,43758,14116,12.688389301300049,59.362773180007935,0.47132229804992676
12,4,1.1224489795918369e-05,6.020408163265306e-06,2.78819e-11,49823,16115,15.276543855667114,0.9176802635192871,0.41660404205322266
13,0,1.1326530612244899e-05,5.938775510204082e-06,8.11378e-11,317,109,0.3372185230255127,0.5447094440460205,0.042642831802368164
13,0,1.1326530612244899e-05,5.938775510204082e-06,3.16667e-11,3215,1089,1.0397295951843262,2.6516947746276855,0.06269645690917969
13,1,1.1326530612244899e-05,5.938775510204082e-06,2.87468e-11,16425,5508,2.893491268157959,17.598435640335083,0.18880796432495117
13,2,1.1326530612244899e-05,5.938775510204082e-06,2.86404e-11,33136,10880,7.849531650543213,41.56071352958679,0.35651659965515137
13,3,1.1326530612244899e-05,5.938775510204082e-06,2.86875e-11,44440,14348,12.320000171661377,59.835737466812134,0.471099853515625
